feature,eta_squared,p_adj,effect_size,CORA,FICR,AMCR,CACR,HCRW,rf_importance,MeanDecreaseGini,rank_eta,rank_rdmforest,combined_rank
f0_95th_percentile,0.175562923,0,large (>0.14),0.085270698,0.029390953,0.105788737,0.093150828,0.040594853,0.07773841,1797.250394,2,3,5
mean_f0,0.050580628,0,small (0.01-0.06),0.067558588,0.092520842,0.14633809,0.10958019,0.051755275,0.106781746,2106.336885,6,2,8
f0_peak_value,0.177464178,0,large (>0.14),0.053738063,0.02139725,0.08102008,0.077397955,0.034403309,0.05640138,1476.882938,1,7,8
f0_5th_percentile,0.008561841,1.48368634150535e-161,trivial (<0.01),0.052670294,0.169559723,0.141709866,0.130673446,0.03130883,0.122423216,2143.006759,9,1,10
pitch_instability,0.112917934,0,moderate (0.06-0.14),0.041808542,0.042153559,0.071483464,0.06111624,0.014156308,0.053914581,1134.840923,3,8,11
call_length,0.059997443,0,small (0.01-0.06),0.016888572,0.021855264,0.063812703,0.055057292,0.011550325,0.038263912,937.9626769,5,12,17
amplitude_wobble_magnitude,0.044270293,0,small (0.01-0.06),0.016171522,0.028799304,0.061623467,0.05713909,0.013324106,0.039214209,1122.398927,7,11,18
harmonic_pc1,0.000379896,1.4368091263607e-06,trivial (<0.01),0.029052915,0.050561135,0.103916107,0.079786712,0.024422693,0.066402173,2004.632687,17,4,21
pitch_wobble_periodicity_2,0.000168401,0.006914944,trivial (<0.01),0.04621476,0.0491117,0.082815071,0.07531067,0.01636342,0.062168695,1083.056572,18,6,24
harmonic_pc2,1.68726123992426e-05,0.962978373,trivial (<0.01),0.030486868,0.053852349,0.093055837,0.06818888,0.018217409,0.062810651,1943.710085,20,5,25
peak_count,0.084279588,0,moderate (0.06-0.14),0.009597474,0.012483805,0.034917801,0.020008399,0.003857356,0.020658899,565.9691314,4,22,26
amplitude_wobble_frequency,0.001036181,1.40807203379414e-18,trivial (<0.01),0.01755071,0.011081096,0.065837263,0.050379706,0.013787227,0.036108918,785.4914803,14,13,27
amplitude_moment_2,0.002731878,1.99318392459675e-50,trivial (<0.01),0.013910254,0.015876336,0.047544436,0.039279724,0.007112881,0.028642982,971.3125186,11,17,28
pitch_wobble_periodicity_1,0.000160886,0.008751954,trivial (<0.01),0.042507024,0.042625821,0.070313584,0.059734268,0.011881439,0.053681878,1132.914676,19,9,28
amplitude_moment_3,0.00101375,3.44484927880048e-18,trivial (<0.01),0.01601654,0.015938064,0.047076221,0.040133006,0.008187912,0.029106675,1015.756481,15,16,31
amplitude_moment_4,0.0007209,8.90118126788315e-13,trivial (<0.01),0.01736159,0.01713373,0.049403698,0.042834743,0.009897819,0.030873713,1000.420981,16,15,31
pitch_wobble_frequency,0.034741598,0,small (0.01-0.06),0.001243146,0.003286338,0.020016483,0.012745215,0.002357471,0.009685089,415.2477999,8,24,32
f0_peak_location,0.00625853,1.59356813940872e-117,trivial (<0.01),0.002898336,0.002751721,0.034488713,0.029141944,0.002230394,0.016412442,1176.573551,10,23,33
f0_cubic_term,0.001427689,7.64922815450949e-26,trivial (<0.01),0.00842091,0.009984466,0.036888387,0.02801917,0.004042548,0.020801471,1108.507081,12,21,33
f0_quadratic_term,0.001351941,1.86551721745734e-24,trivial (<0.01),0.008423049,0.011423923,0.037719188,0.029670404,0.005562954,0.021621634,1168.419681,13,20,33
harmonic_pc3,2.08879061649633e-06,0.996049106,trivial (<0.01),0.023558763,0.024312941,0.08568837,0.058995355,0.018833125,0.049584889,2034.322188,24,10,34
harmonic_trend_pc1,4.24382084145553e-06,0.996049106,trivial (<0.01),0.009942147,0.007193956,0.061758801,0.057267595,0.016192534,0.031749531,1467.487544,23,14,37
harmonic_trend_pc2,1.60596503290659e-05,0.962978373,trivial (<0.01),0.012690983,0.006469917,0.049838452,0.044831502,0.012006018,0.027004546,1464.085034,21,18,39
harmonic_trend_pc3,5.31890061322357e-06,0.996049106,trivial (<0.01),0.012827815,0.006358417,0.045766976,0.039227176,0.007101617,0.025078022,1291.910669,22,19,41